id,name,type,parent_id/id,property_account_income_categ,property_account_expense_categ,property_stock_account_input_categ,property_stock_account_output_categ,property_stock_valuation_account_id
product_cat_ขาจานโซ่สลัก,ขาจานโซ่สลัก,Normal,product_cat_parts,411000 รายได้จากการขายสินค้า,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,511000 ต้นทุนขาย,115100 สินค้าสำเร็จรูป
product_cat_ขาจานเลื้อย,ขาจานเลื้อย,Normal,product_cat_parts,411000 รายได้จากการขายสินค้า,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,511000 ต้นทุนขาย,115100 สินค้าสำเร็จรูป
product_cat_ขาตะกร้า,ขาตะกร้า,Normal,product_cat_parts,411000 รายได้จากการขายสินค้า,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,511000 ต้นทุนขาย,115100 สินค้าสำเร็จรูป
product_cat_ขาตั้ง,ขาตั้ง,Normal,product_cat_parts,411000 รายได้จากการขายสินค้า,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,511000 ต้นทุนขาย,115100 สินค้าสำเร็จรูป
product_cat_ขาบังโคลน,ขาบังโคลน,Normal,product_cat_parts,411000 รายได้จากการขายสินค้า,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,511000 ต้นทุนขาย,115100 สินค้าสำเร็จรูป
product_cat_ขาเบาะท้าย,ขาเบาะท้าย,Normal,product_cat_parts,411000 รายได้จากการขายสินค้า,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,511000 ต้นทุนขาย,115100 สินค้าสำเร็จรูป
product_cat_คอแฮนด์,คอแฮนด์,Normal,product_cat_parts,411000 รายได้จากการขายสินค้า,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,511000 ต้นทุนขาย,115100 สินค้าสำเร็จรูป
product_cat_โครงเบาะท้าย,โครงเบาะท้าย,Normal,product_cat_parts,411000 รายได้จากการขายสินค้า,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,511000 ต้นทุนขาย,115100 สินค้าสำเร็จรูป
product_cat_จานโซ่,จานโซ่,Normal,product_cat_parts,411000 รายได้จากการขายสินค้า,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,511000 ต้นทุนขาย,115100 สินค้าสำเร็จรูป
product_cat_จุกอัลลอยด์,จุกอัลลอยด์,Normal,product_cat_parts,411000 รายได้จากการขายสินค้า,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,511000 ต้นทุนขาย,115100 สินค้าสำเร็จรูป
product_cat_ชิ้นส่วนพลาสติก,ชิ้นส่วนพลาสติก eBike/eScooter,Normal,product_cat_parts,411000 รายได้จากการขายสินค้า,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,511000 ต้นทุนขาย,115100 สินค้าสำเร็จรูป
product_cat_ชุดเครื่องคอ,ชุดเครื่องคอ,Normal,product_cat_parts,411000 รายได้จากการขายสินค้า,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,511000 ต้นทุนขาย,115100 สินค้าสำเร็จรูป
