id,name,shipper_ids
base.res_partner_168,"สินสุนันท์, ร้าน",นิ่มซี่เส็ง
base.res_partner_103,สุชาติจักรยาน,สี่สหายขนส่ง(1998)
base.res_partner_146,"สุรพลจักรยาน, ร้าน",เมืองยศ
base.res_partner_173,เสมอการช่าง,ชัยภูมิวัฒนสิน
base.res_partner_204,เสรียนต์,กระบี่นครการ
base.res_partner_231,แสงฟ้าจักรยาน,สกุลทอง
base.res_partner_154,"แสงอรุณ, สระบุรี",นิว ซ.สระบุรี
base.res_partner_164,โสธรจักรยาน,ชวาลกิต
base.res_partner_516,หงษ์ฟ้าเกียรติศักดิ์,โชคบุญนำพัฒนา
base.res_partner_007,"หยูฮะเฮงหนองคาย, หจก.",โชคบุญนำพัฒนา
base.res_partner_510,ห้างทองชัยแสงเพชรจักรยาน,ประกายเพชรบูรณ์
base.res_partner_512,หาญพาณิช,นิว ซ.สระบุรี
base.res_partner_1168,อ.เฟอร์นิเจอร์,พรกิจ
base.res_partner_1170,อะหลั่ยกลการ,นิวหม่งเส็ง
base.res_partner_1176,อัมพรจักรยาน,ชวาลกิต
base.res_partner_1156,อำนวยชัยจักรยาน,โชคบุญนำพัฒนา
base.res_partner_1166,อึ้งกวงเกีย,นิ่มซี่เส็ง
base.res_partner_1161,อุตรดิตถ์ภัทรกิจ บจก.,วัฒนกิจอุตรดิตถ์
base.res_partner_531,เอกเสรีแม่สอด,สิทธิวงศ์
base.res_partner_1174,เอี่ยมเจริญ,โชคพูนทรัพย์
base.res_partner_337,"โอเวอร์ซี, ร้าน",นครแพร่น่าน
base.res_partner_500,"ไอ.ที.ซี มาร์เก็ตติ้ง, ร้าน",ลี้ฮะจัก
base.res_partner_504,ไฮไบด์,อ่าวไทยขนส่ง
