id,name,code,parent_id/id,type,user_type/id,reconcile
thai_rjc_11600,สินทรัพย์หมุนเวียนอื่น,11600,thai_rjc_11000,View,account.data_account_type_view,FALSE
thai_rjc_11601,ภาษีซื้อ,11601,thai_rjc_11600,Regular,account.data_account_type_input_tax,FALSE
thai_rjc_11602,ภาษีซื้อยังไม่ถึงกำหนดชำระ,11602,thai_rjc_11600,Regular,account.data_account_type_current_assets,FALSE
thai_rjc_11603,ลูกหนี้กรมสรรพากร,11603,thai_rjc_11600,Regular,account.data_account_type_current_assets,FALSE
thai_rjc_11604,ภาษีเงินได้ถูกหัก ณ ที่จ่าย,11604,thai_rjc_11600,Regular,account.data_account_type_current_assets,FALSE
thai_rjc_11605,ภาษีนิติบุคคลจ่ายล่วงหน้า,11605,thai_rjc_11600,Regular,account.data_account_type_current_assets,FALSE
thai_rjc_11610,ค่าใช้จ่ายจ่ายล่วงหน้า,11610,thai_rjc_11600,Regular,account.data_account_type_current_assets,FALSE
thai_rjc_11620,เงินทดรองจ่าย,11620,thai_rjc_11600,Regular,account.data_account_type_current_assets,FALSE
thai_rjc_11630,เงินมัดจำสินค้า,11630,thai_rjc_11600,Regular,account.data_account_type_current_assets,FALSE
thai_rjc_11640,รายได้ค้างรับ,11640,thai_rjc_11600,Regular,account.data_account_type_current_assets,FALSE
thai_rjc_11650,ดอกเบี้ยค้างรับ,11650,thai_rjc_11600,Regular,account.data_account_type_current_assets,FALSE
thai_rjc_11660,สินทรัพย์หมุนเวียนอื่น,11660,thai_rjc_11600,Regular,account.data_account_type_current_assets,FALSE
thai_rjc_12000,สินทรัพย์ไม่หมุนเวียน,12000,thai_rjc_10000,View,account.data_account_type_view,FALSE
thai_rjc_12100,เงินลงทุนระยะยาว,12100,thai_rjc_12000,View,account.data_account_type_view,FALSE
thai_rjc_12110,เงินลงทุนระยะยาว,12110,thai_rjc_12100,Regular,account.data_account_type_non_current_assets,FALSE
thai_rjc_12200,เงินให้กู้ยืมระยะยาว,12200,thai_rjc_12000,View,account.data_account_type_view,FALSE
thai_rjc_12210,เงินให้กู้ยืมระยะยาวแก่พนักงาน,12210,thai_rjc_12200,Regular,account.data_account_type_non_current_assets,FALSE
thai_rjc_12220,เงินให้กู้ยืมระยะยาวแก่กรรมการและผู้ถือหุ้น,12220,thai_rjc_12200,Regular,account.data_account_type_non_current_assets,FALSE
thai_rjc_12230,เงินให้กู้ยืมระยะยาวบริษัทที่เกี่ยวข้องกัน,12230,thai_rjc_12200,Regular,account.data_account_type_non_current_assets,FALSE
thai_rjc_12290,เงินให้กู้ยืมระยะยาวอื่น,12290,thai_rjc_12200,Regular,account.data_account_type_non_current_assets,FALSE
thai_rjc_12300,ที่ดิน อาคารและอุปกรณ์ - สุทธิ,12300,thai_rjc_12000,View,account.data_account_type_view,FALSE
thai_rjc_12305,ที่ดิน,12305,thai_rjc_12300,Regular,account.data_account_type_fixed_assets,FALSE
thai_rjc_12310,อาคารและสิ่งปลูกสร้าง,12310,thai_rjc_12300,Regular,account.data_account_type_fixed_assets,FALSE
thai_rjc_12311,งานระหว่างก่อสร้าง,12311,thai_rjc_12300,Regular,account.data_account_type_fixed_assets,FALSE
thai_rjc_12320,สิทธิการเช่า,12320,thai_rjc_12300,Regular,account.data_account_type_fixed_assets,FALSE
thai_rjc_12330,เครื่องจักร,12330,thai_rjc_12300,Regular,account.data_account_type_fixed_assets,FALSE
