id,name,description_sale,description_purchase,sale_ok,purchase_ok,hr_expense_ok,type,cost_method,categ_id,uom_id,uom_po_id,valuation,standard_price,list_price,property_account_income,property_account_expense
product_product_charge_68,ค่าซ่อมบำรุงยานพาหนะ,,,FALSE,TRUE,TRUE,Service,Standard Price,Charges,Unit(s),Unit(s),Periodical (manual),1,1,67200 ค่าซ่อมบำรุงยานพาหนะ,67200 ค่าซ่อมบำรุงยานพาหนะ
product_product_charge_69,ค่าซ่อมบำรุงอื่นๆ,,,FALSE,TRUE,TRUE,Service,Standard Price,Charges,Unit(s),Unit(s),Periodical (manual),1,1,67900 ค่าซ่อมบำรุงอื่นๆ,67900 ค่าซ่อมบำรุงอื่นๆ
product_product_charge_70,ค่าทำบัญชี,,,FALSE,TRUE,TRUE,Service,Standard Price,Charges,Unit(s),Unit(s),Periodical (manual),1,1,68100 ค่าทำบัญชี,68100 ค่าทำบัญชี
product_product_charge_71,ค่าตรวจสอบบัญชี,,,FALSE,TRUE,TRUE,Service,Standard Price,Charges,Unit(s),Unit(s),Periodical (manual),1,1,68200 ค่าตรวจสอบบัญชี,68200 ค่าตรวจสอบบัญชี
product_product_charge_72,ค่าธรรมเนียมวิชาชีพอื่นๆ,,,FALSE,TRUE,TRUE,Service,Standard Price,Charges,Unit(s),Unit(s),Periodical (manual),1,1,68900 ค่าธรรมเนียมวิชาชีพอื่นๆ,68900 ค่าธรรมเนียมวิชาชีพอื่นๆ
product_product_charge_73,ค่าเบี้ยประกันอัคคีภัย,,,FALSE,TRUE,TRUE,Service,Standard Price,Charges,Unit(s),Unit(s),Periodical (manual),1,1,69100 ค่าเบี้ยประกันอัคคีภัย,69100 ค่าเบี้ยประกันอัคคีภัย
product_product_charge_74,ค่าเบี้ยประกันรถยนต์,,,FALSE,TRUE,TRUE,Service,Standard Price,Charges,Unit(s),Unit(s),Periodical (manual),1,1,69200 ค่าเบี้ยประกันรถยนต์,69200 ค่าเบี้ยประกันรถยนต์
product_product_charge_75,ค่าเบี้ยประกันอื่นๆ,,,FALSE,TRUE,TRUE,Service,Standard Price,Charges,Unit(s),Unit(s),Periodical (manual),1,1,69900 ค่าเบี้ยประกันอื่นๆ,69900 ค่าเบี้ยประกันอื่นๆ
product_product_charge_76,ค่าธรรมเนียมธนาคาร,,,FALSE,TRUE,TRUE,Service,Standard Price,Charges,Unit(s),Unit(s),Periodical (manual),1,1,70100 ค่าธรรมเนียมธนาคาร,70100 ค่าธรรมเนียมธนาคาร
product_product_charge_77,ค่าธรรมเนียมอื่นๆ,,,FALSE,TRUE,TRUE,Service,Standard Price,Charges,Unit(s),Unit(s),Periodical (manual),1,1,70900 ค่าธรรมเนียมอื่นๆ,70900 ค่าธรรมเนียมอื่นๆ
product_product_charge_78,ค่าเสื่อมราคาสะสมอาคารและสิ่งปลูกสร้าง,,,FALSE,TRUE,TRUE,Service,Standard Price,Charges,Unit(s),Unit(s),Periodical (manual),1,1,71319 ค่าเสื่อมราคาสะสมอาคารและสิ่งปลูกสร้าง,71319 ค่าเสื่อมราคาสะสมอาคารและสิ่งปลูกสร้าง
product_product_charge_79,สิทธิการเช่าตัดจำหน่ายสะสม,,,FALSE,TRUE,TRUE,Service,Standard Price,Charges,Unit(s),Unit(s),Periodical (manual),1,1,71329 สิทธิการเช่าตัดจำหน่ายสะสม,71329 สิทธิการเช่าตัดจำหน่ายสะสม
product_product_charge_80,ค่าเสื่อมราคาสะสมเครื่องตกแต่งและเครื่องใช้สำนักงาน,,,FALSE,TRUE,TRUE,Service,Standard Price,Charges,Unit(s),Unit(s),Periodical (manual),1,1,71359 ค่าเสื่อมราคาสะสมเครื่องตกแต่งและเครื่องใช้สำนักงาน,71359 ค่าเสื่อมราคาสะสมเครื่องตกแต่งและเครื่องใช้สำนักงาน
product_product_charge_81,ค่าเสื่อมราคาสะสมคอมพิวเตอร์,,,FALSE,TRUE,TRUE,Service,Standard Price,Charges,Unit(s),Unit(s),Periodical (manual),1,1,71369 ค่าเสื่อมราคาสะสมคอมพิวเตอร์,71369 ค่าเสื่อมราคาสะสมคอมพิวเตอร์
