id,name,description_sale,description_purchase,default_code,sale_ok,purchase_ok,type,procure_method,supply_method,list_price,cost_method,standard_price,categ_id/id,uom_id,uom_po_id,description,valuation,uos_id,uos_coeff,standard_price,list_price,qty_available
product.product_product_ชุบ056,ชุบขาบังโคลน # 282 ED,,,COT189,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,อัน,อัน,,Real Time (automated),,,1,,
product.product_product_ชุบ057,"ชุบขาบังโคลน 26"" SP ED",,,COT199,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,อัน,อัน,,Real Time (automated),,,1,,
product.product_product_ชุบ058,ชุบใบจาน 28 T UCP,,,COT208,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,กก.,กก.,,Real Time (automated),,,1,,
product.product_product_ชุบ059,ชุบใบจาน 32 T UCP,,,COT209,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,กก.,กก.,,Real Time (automated),,,1,,
product.product_product_ชุบ060,ชุบแฮนด์ 24 MINI CP,,,COT222,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,อัน,อัน,,Real Time (automated),,,1,,
product.product_product_ชุบ061,"ชุบขาตั้งกลาง 20"" ED",,,COT229,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,อัน,อัน,,Real Time (automated),,,1,,
product.product_product_ชุบ062,"ชุบวงล้อ 26"" 1 3/8 CP",,,COT242,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,อัน,อัน,,Real Time (automated),,,1,,
product.product_product_ชุบ063,ชุบหลักอาน 5 1/2 เจาะรู UCP,,,COT257,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,กก.,กก.,,Real Time (automated),,,1,,
product.product_product_ชุบ064,ชุบแหวนพักเท้า สีขาว UCP,,,COT258,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,กก.,กก.,,Real Time (automated),,,1,,
product.product_product_ชุบ065,"ชุบหลักอาน 7"" CP",,,COT263,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,อัน,อัน,,Real Time (automated),,,1,,
product.product_product_ชุบ066,ชุบแกนโช๊ค (ไม่ขัด) CP,,,COT267,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,อัน,อัน,,Real Time (automated),,,1,,
product.product_product_ชุบ067,"ชุบตะเกียบ 16"" HARO CP",,,COT286,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,อัน,อัน,,Real Time (automated),,,1,,
product.product_product_ชุบ068,"ชุบตัวถัง 16"" HARO (ใหญ่) CP",,,COT289,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,อัน,อัน,,Real Time (automated),,,1,,
product.product_product_ชุบ069,ชุบขาบังโคลน ตัวยู CP,,,COT290,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,อัน,อัน,,Real Time (automated),,,1,,
product.product_product_ชุบ070,"ชุบขาเบาะท้าย 24"" MINI # R (NO) ED",,,COT315,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,อัน,อัน,,Real Time (automated),,,1,,
product.product_product_ชุบ071,"ชุบขาเบาะท้าย 24"" MINI # L (NO) ED",,,COT316,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,อัน,อัน,,Real Time (automated),,,1,,
product.product_product_ชุบ072,"ชุบโครงเบาะท้าย 24"" MINI # L ED",,,COT321,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,อัน,อัน,,Real Time (automated),,,1,,
product.product_product_ชุบ073,"ชุบโครงเบาะท้าย 24"" MINI # R ED",,,COT322,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,อัน,อัน,,Real Time (automated),,,1,,
product.product_product_ชุบ074,"ชุบปะกับหุ้มโซ่ 26"" SP น/ล UCP",,,COT330,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,กก.,กก.,,Real Time (automated),,,1,,
product.product_product_ชุบ075,ชุบแหวน เล็ก UCP,,,COT331,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,กก.,กก.,,Real Time (automated),,,1,,
product.product_product_ชุบ076,"ชุบหลักอาน 5 1/2"" บาง UCP",,,COT332,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,กก.,กก.,,Real Time (automated),,,1,,
product.product_product_ชุบ077,ชุบคอแฮนด์ MINI PS CP,,,COT333,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,อัน,อัน,,Real Time (automated),,,1,,
product.product_product_ชุบ078,"ชุบใบจาน 44T รุ่นใบพัด 2.3"" ED",,,COT352,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,อัน,อัน,,Real Time (automated),,,1,,
product.product_product_ชุบ079,ชุบแป้นล็อคกันล้ม NEW UCP,,,COT358,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,กก.,กก.,,Real Time (automated),,,1,,
product.product_product_ชุบ080,"ชุบใบจาน 44T รุ่นใบพัด 2"" ED",,,COT375,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,อัน,อัน,,Real Time (automated),,,1,,
