id,name,category_id/id,uom_type,rounding,factor_inv,factor
product.uom_อัน_BNK039,อัน (BNK039),product.uom_categ_blank,Smaller than the reference Unit of Measure,0.001,0.0460829,21.700023219
product.uom_อัน_BNK042,อัน (BNK042),product.uom_categ_blank,Smaller than the reference Unit of Measure,0.001,0.0909091,10.9999989
product.uom_อัน_BNK043,อัน (BNK043),product.uom_categ_blank,Smaller than the reference Unit of Measure,0.001,0.0289855,34.500008625
product.uom_อัน_BNK044,อัน (BNK044),product.uom_categ_blank,Smaller than the reference Unit of Measure,0.001,0.0392157,25.499991075
product.uom_อัน_BNK045,อัน (BNK045),product.uom_categ_blank,Smaller than the reference Unit of Measure,0.001,0.0208333,48.0000768001
product.uom_อัน_BNK052,อัน (BNK052),product.uom_categ_blank,Smaller than the reference Unit of Measure,0.001,0.0666667,14.9999925
product.uom_อัน_BNK053,อัน (BNK053),product.uom_categ_blank,Smaller than the reference Unit of Measure,0.001,0.0454545,22.000022
product.uom_อัน_BNK054,อัน (BNK054),product.uom_categ_blank,Smaller than the reference Unit of Measure,0.001,0.0555556,17.9999856
product.uom_อัน_BNK055,อัน (BNK055),product.uom_categ_blank,Smaller than the reference Unit of Measure,0.001,0.047619,21.000021
product.uom_อัน_BNK056,อัน (BNK056),product.uom_categ_blank,Smaller than the reference Unit of Measure,0.001,0.0384615,26.000026
product.uom_อัน_BNK057,อัน (BNK057),product.uom_categ_blank,Smaller than the reference Unit of Measure,0.001,0.0128205,78.0000780001
product.uom_อัน_BNK059,อัน (BNK059),product.uom_categ_blank,Smaller than the reference Unit of Measure,0.001,0.0740741,13.499995275
product.uom_อัน_BNK060,อัน (BNK060),product.uom_categ_blank,Smaller than the reference Unit of Measure,0.001,0.1754386,5.699999886
product.uom_อัน_BNK061,อัน (BNK061),product.uom_categ_blank,Smaller than the reference Unit of Measure,0.001,0.1492537,6.700001407
product.uom_อัน_BNK062,อัน (BNK062),product.uom_categ_blank,Smaller than the reference Unit of Measure,0.001,0.0769231,12.9999961
product.uom_อัน_BNK063,อัน (BNK063),product.uom_categ_blank,Smaller than the reference Unit of Measure,0.001,0.0970874,10.299997734
product.uom_อัน_BNK064,อัน (BNK064),product.uom_categ_blank,Smaller than the reference Unit of Measure,0.001,0.0606061,16.499989275
product.uom_อัน_BNK065,อัน (BNK065),product.uom_categ_blank,Smaller than the reference Unit of Measure,0.001,0.0294985,33.900028815
