id,partner_id,partner_invoice_id,partner_shipping_id,name,date_order,pricelist_id/id,order_line/sequence,order_line/type,order_line/name,order_line/product_id,order_line/product_uom_qty,order_line/salesman_id/id,order_line/price_unit,order_line/product_uom
sale_order_1006244,ซุปเปอร์ทอยส์,ซุปเปอร์ทอยส์,ซุปเปอร์ทอยส์,1003939,2013-01-07,product.list0,10,from stock,N/A,MSP7CK,4,base.user_root,3632,คัน
sale_order_1006244,ซุปเปอร์ทอยส์,ซุปเปอร์ทอยส์,ซุปเปอร์ทอยส์,1003939,2013-01-07,product.list0,20,from stock,N/A,MSP7CW,4,base.user_root,3632,คัน
sale_order_1006244,ซุปเปอร์ทอยส์,ซุปเปอร์ทอยส์,ซุปเปอร์ทอยส์,1003939,2013-01-07,product.list0,30,from stock,N/A,MSP7CSB,2,base.user_root,3632,คัน
sale_order_1006220,อำนวยชัยจักรยาน,อำนวยชัยจักรยาน,อำนวยชัยจักรยาน,1003915,2013-01-05,product.list0,70,from stock,N/A,MSP7CK,1,base.user_root,3632,คัน
sale_order_1006220,อำนวยชัยจักรยาน,อำนวยชัยจักรยาน,อำนวยชัยจักรยาน,1003915,2013-01-05,product.list0,80,from stock,N/A,MSP7CW,1,base.user_root,3632,คัน
sale_order_1006220,อำนวยชัยจักรยาน,อำนวยชัยจักรยาน,อำนวยชัยจักรยาน,1003915,2013-01-05,product.list0,90,from stock,N/A,MSP7CSB,1,base.user_root,3632,คัน
sale_order_1006221,"ดี.เอ็น.เค.ชุมแพ, หจก.","ดี.เอ็น.เค.ชุมแพ, หจก.","ดี.เอ็น.เค.ชุมแพ, หจก.",1003916,2013-01-05,product.list0,10,from stock,** ราคาเนต **,MSP7CW,1,base.user_root,3520,คัน
sale_order_1006141,สมพงษ์การค้า,สมพงษ์การค้า,สมพงษ์การค้า,1003836,2012-12-26,product.list0,10,from stock,N/A,MSP7CW,1,base.user_root,3996,คัน
sale_order_1006116,"เจริญจักรยาน, ราชบุรี","เจริญจักรยาน, ราชบุรี","เจริญจักรยาน, ราชบุรี",1003811,2012-12-25,product.list0,20,from stock,N/A,MSP7CW,1,base.user_root,3996,คัน
sale_order_1006056,กู๊ดไบค์ซิเคิล เซ็นเตอร์,กู๊ดไบค์ซิเคิล เซ็นเตอร์,กู๊ดไบค์ซิเคิล เซ็นเตอร์,1003751,2012-12-21,product.list0,30,from stock,** ราคาเนต **,MSP7CK,1,base.user_root,3996,คัน
sale_order_1006056,กู๊ดไบค์ซิเคิล เซ็นเตอร์,กู๊ดไบค์ซิเคิล เซ็นเตอร์,กู๊ดไบค์ซิเคิล เซ็นเตอร์,1003751,2012-12-21,product.list0,40,from stock,** ราคาเนต **,MSP7CW,1,base.user_root,3996,คัน
sale_order_1006056,กู๊ดไบค์ซิเคิล เซ็นเตอร์,กู๊ดไบค์ซิเคิล เซ็นเตอร์,กู๊ดไบค์ซิเคิล เซ็นเตอร์,1003751,2012-12-21,product.list0,50,from stock,** ราคาเนต **,MSP7CSB,1,base.user_root,3996,คัน
sale_order_1006059,"เจริญจักรยาน,ขอนแก่น","เจริญจักรยาน,ขอนแก่น","เจริญจักรยาน,ขอนแก่น",1003754,2012-12-21,product.list0,70,from stock,** ทุกรายการใช้ชัยวัฒขนส่ง **,MSP7CK,1,base.user_root,3876,คัน
sale_order_1005827,"เจริญจักรยาน, ราชบุรี","เจริญจักรยาน, ราชบุรี","เจริญจักรยาน, ราชบุรี",1003522,2012-12-06,product.list0,10,from stock,N/A,MSP7CW,-1,base.user_root,3996,คัน
sale_order_1006138,"ศุภางค์ พานิชย์, ร้าน","ศุภางค์ พานิชย์, ร้าน","ศุภางค์ พานิชย์, ร้าน",1003833,2012-12-26,product.list0,10,from stock,N/A,MST24K,3,base.user_root,1488,คัน
sale_order_1006138,"ศุภางค์ พานิชย์, ร้าน","ศุภางค์ พานิชย์, ร้าน","ศุภางค์ พานิชย์, ร้าน",1003833,2012-12-26,product.list0,20,from stock,N/A,MST24B,3,base.user_root,1488,คัน
