ERROR,id,partner_id,partner_invoice_id,partner_shipping_id,name,date_order,pricelist_id/id,order_line/sequence,order_line/type,order_line/name,order_line/special_info,order_line/product_id,order_line/product_uom_qty,order_line/salesman_id/id,order_line/price_unit,order_line/product_uom
YES,sale_order_1006096,ฉอยเซ็น,ฉอยเซ็น,ฉอยเซ็น,1003791,2012-12-24,product.list0,30,from stock,"วงล้อเหล็ก 24"" ชุบโครเมี่ยม ขึ้นซี่ลวด #14G พร้อมดุม 28 รู - หลัง/หลัง",,KIT_RIM_24S_RR,20,base.user_root,195,คู่
YES,sale_order_1006059,"เจริญจักรยาน,ขอนแก่น","เจริญจักรยาน,ขอนแก่น","เจริญจักรยาน,ขอนแก่น",1003754,2012-12-21,product.list0,30,from stock,"SKD จักรยานเด็ก MEADOW รุ่น GUMBY 12"" สีมุก - ดำ",- สีชมพู,MGB12K,3,base.user_root,730,คัน
YES,sale_order_1006060,"เจริญจักรยาน,ขอนแก่น","เจริญจักรยาน,ขอนแก่น","เจริญจักรยาน,ขอนแก่น",1003755,2012-12-21,product.list0,10,from stock,"บังโคลนเหล็ก MTB 20"" สีดำ (หน้า-หลัง) พร้อมขาดำ (282+282) และปะกับ",,KIT_MUDGUARD_MTB_282K,10,base.user_root,58,ชุด
YES,sale_order_1006060,"เจริญจักรยาน,ขอนแก่น","เจริญจักรยาน,ขอนแก่น","เจริญจักรยาน,ขอนแก่น",1003755,2012-12-21,product.list0,20,from stock,"บังโคลนเหล็ก MTB 24"" สีดำ (หน้า-หลัง) พร้อมขาดำ (328+328) และปะกับ",,KIT_MUDGUARD_MTB_328K,20,base.user_root,63,ชุด
YES,sale_order_1006022,"วัฒนพานิช, อยุธยา","วัฒนพานิช, อยุธยา","วัฒนพานิช, อยุธยา",1003717,2012-12-19,product.list0,50,from stock,"วงล้อเหล็ก 24"" ชุบโครเมี่ยม ขึ้นซี่ลวด #14G พร้อมดุม 28 รู - หลัง/หลัง",,KIT_RIM_24S_RR,10,base.user_root,200,คู่
YES,sale_order_1006022,"วัฒนพานิช, อยุธยา","วัฒนพานิช, อยุธยา","วัฒนพานิช, อยุธยา",1003717,2012-12-19,product.list0,60,from stock,"วงล้อเหล็ก 24"" ชุบโครเมี่ยม ขึ้นซี่ลวด #14G พร้อมดุม 28 รู - หน้า/หลัง",,KIT_RIM_24S_FR,10,base.user_root,190,คู่
YES,sale_order_1005889,"วี.ที.เว็นเท็กซ์, หจก.","วี.ที.เว็นเท็กซ์, หจก.","วี.ที.เว็นเท็กซ์, หจก.",1003584,2012-12-10,product.list0,40,from stock,"วงล้อเหล็ก 16"" สีน้ำเงิน HB-2A",,RIM026,100,base.user_root,52,คู่
YES,sale_order_1005828,เจี่ยง่วนเฮง,เจี่ยง่วนเฮง,เจี่ยง่วนเฮง,1003523,2012-12-06,product.list0,90,from stock,"วงล้ออัลลอย 24""  ขึ้นซี่ลวด #14G พร้อมดุม 36 รู UCP - หน้า/หลัง",,KIT_RIM_24A_FR,10,base.user_root,240,คู่
YES,sale_order_1005756,"วี.ที.เว็นเท็กซ์, หจก.","วี.ที.เว็นเท็กซ์, หจก.","วี.ที.เว็นเท็กซ์, หจก.",1003451,2012-11-29,product.list0,60,from stock,"วงล้อเหล็ก 26""*1-3/8*14G*40H+40H ชบโครเมี่ยม ZLS-006",,RIM068,50,base.user_root,145,คู่
YES,sale_order_1005728,แสงจันทร์,แสงจันทร์,แสงจันทร์,1003423,2012-11-26,product.list0,20,from stock,ชุดแฮนด์ MINI 16 สีฟ้า + คอ MTB 60mm  สีฟ้า,,KIT_HAND_MINI_16SB,10,base.user_root,46,ชุด
YES,sale_order_1005728,แสงจันทร์,แสงจันทร์,แสงจันทร์,1003423,2012-11-26,product.list0,30,from stock,ชุดแฮนด์ MINI 16 สีแดง + คอ MTB 60mm  สีแดง,,KIT_HAND_MINI_16R,50,base.user_root,46,ชุด
YES,sale_order_1005647,ไทยฮวด,ไทยฮวด,ไทยฮวด,1003342,2012-11-20,product.list0,30,from stock,"วงล้อเหล็ก 24"" ชุบโครเมี่ยม ขึ้นซี่ลวด #14G พร้อมดุม 28 รู - หน้า/หลัง",,KIT_RIM_24S_FR,10,base.user_root,190,คู่
YES,sale_order_1005647,ไทยฮวด,ไทยฮวด,ไทยฮวด,1003342,2012-11-20,product.list0,40,from stock,"วงล้อเหล็ก 24"" ชุบโครเมี่ยม ขึ้นซี่ลวด #14G พร้อมดุม 28 รู - หลัง/หลัง",,KIT_RIM_24S_RR,20,base.user_root,200,คู่
YES,sale_order_1005647,ไทยฮวด,ไทยฮวด,ไทยฮวด,1003342,2012-11-20,product.list0,50,from stock,"วงล้อเหล็ก 20"" ชุบโครเมี่ยม ขึ้นซี่ลวด #14G พร้อมดุม 28 รู - หน้า/หลัง",,KIT_RIM_20S_FR,10,base.user_root,170,คู่
YES,sale_order_1005647,ไทยฮวด,ไทยฮวด,ไทยฮวด,1003342,2012-11-20,product.list0,60,from stock,"วงล้อเหล็ก 16"" คละสี ขึ้นซี่ลวด #14G พร้อมดุม 20 รู - หลัง/หลัง",,KIT_RIM_16SP_RR,10,base.user_root,135,คู่
YES,sale_order_1005647,ไทยฮวด,ไทยฮวด,ไทยฮวด,1003342,2012-11-20,product.list0,70,from stock,"วงล้อเหล็ก 14"" คละสี ขึ้นซี่ลวด #14G พร้อมดุม 16 รู - หน้า/หลัง",,KIT_RIM_14SP_FR,10,base.user_root,125,คู่
YES,sale_order_1005647,ไทยฮวด,ไทยฮวด,ไทยฮวด,1003342,2012-11-20,product.list0,80,from stock,"วงล้อเหล็ก 12"" คละสี ขึ้นซี่ลวด #14G พร้อมดุม 16 รู - หน้า/หลัง",,KIT_RIM_12SP_FR,10,base.user_root,120,คู่
YES,sale_order_1005573,"วี.ที.เว็นเท็กซ์, หจก.","วี.ที.เว็นเท็กซ์, หจก.","วี.ที.เว็นเท็กซ์, หจก.",1003268,2012-11-12,product.list0,20,from stock,ชุดดุมเหล็ก หน้า/หลัง 20 รู #14 ชุบซิงค์,,KIT_HUB_2014U,1000,base.user_root,33,คู่
YES,sale_order_1005540,หงษ์ฟ้าเกียรติศักดิ์,หงษ์ฟ้าเกียรติศักดิ์,หงษ์ฟ้าเกียรติศักดิ์,1003235,2012-11-10,product.list0,20,from stock,"บังโคลนเหล็ก MINI 20"" สีดำ (หน้า-หลัง) พร้อมขาชุบดำ (275+275) และปะกับ",*** สีบรอนซ์ *** ราคาเนต **,KIT_MUDGUARD_MINI_275K,50,base.user_root,55,ชุด
YES,sale_order_1005498,ห้างทองชัยแสงเพชรจักรยาน,ห้างทองชัยแสงเพชรจักรยาน,ห้างทองชัยแสงเพชรจักรยาน,1003193,2012-11-05,product.list0,10,from stock,"จักรยาน MEADOW MTB รุ่น POWERSHOT 20"" MY10 สีส้ม/ดำ",** ราคาเนต **,MPS20OK,1,base.user_root,2145,คัน
YES,sale_order_1005504,สหชัยวิทยุจักรยาน (ABC),สหชัยวิทยุจักรยาน (ABC),สหชัยวิทยุจักรยาน (ABC),1003199,2012-11-05,product.list0,30,from stock,"จักรยาน MEADOW MTB รุ่น POWERSHOT 20"" MY10 สีส้ม/ดำ",** ราคาเนต **,MPS20OK,1,base.user_root,2145,คัน
YES,sale_order_1005447,"วี.ที.เว็นเท็กซ์, หจก.","วี.ที.เว็นเท็กซ์, หจก.","วี.ที.เว็นเท็กซ์, หจก.",1003142,2012-11-02,product.list0,40,from stock,ชุดดุมเหล็ก หน้า/หลัง 16 รู #14 ชุบซิงค์,,KIT_HUB_1614U,500,base.user_root,33,คู่
YES,sale_order_1005436,แสงจันทร์,แสงจันทร์,แสงจันทร์,1003131,2012-11-01,product.list0,30,from stock,"วงล้อเหล็ก 16""*10G*20H สีสะท้อน คละสี",,RIM028X,-85,base.user_root,70,คู่
YES,sale_order_1005440,"วี.ที.เว็นเท็กซ์, หจก.","วี.ที.เว็นเท็กซ์, หจก.","วี.ที.เว็นเท็กซ์, หจก.",1003135,2012-11-01,product.list0,10,from stock,"ชุดใหญ่ 20""MINI-Y-PT กลญ. มุกแดง * ตัวถัง, ตะเกียบ, ถุงอะไหล่, บังโซ่นกหวีด, บังโคลนเหล็ก หน้า-หลัง, บังล้อ, แฮนด์มินิ, คอห่าน, บันไดดำ, วงล้อ, พักเท้าหลังดำ, ขาเบาะ, ขาตะกร้า, ขาจานเลื้อยED 5.1/2 + ชุดถ้วย + ใบจาน 44 ดำ *",,OEM_YPT_20_R,10,base.user_root,710,ชุด
NO,sale_order_1006342,พูนสินจักรยาน,พูนสินจักรยาน,พูนสินจักรยาน,1004037,2013-01-15,product.list0,10,from stock,"วงล้อเหล็ก 20""*10G*28H สีมุก คละสี",,RIM033M,30,base.user_root,85,คู่
