id,partner_id,account_id,reference,comment,date_due,date_invoice,invoice_line/account_id,invoice_line/name,invoice_line/product_id,invoice_line/quantity,invoice_line/price_unit
account_invoice_076,งี่ฮ้ง - สวนมะลิ,11310 ลูกหนี้การค้าในประเทศ,INV55/961/48004,Sales: admin,2012-12-15,2012-12-15,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,26910
account_invoice_077,งี่ฮ้ง - สวนมะลิ,11310 ลูกหนี้การค้าในประเทศ,INV55/962/48063,Sales: admin,2012-12-19,2012-12-19,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,20630
account_invoice_078,จ.จักรยาน,11310 ลูกหนี้การค้าในประเทศ,INV55/962/48069,Sales: pitoon,2012-12-20,2012-12-20,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,119280
account_invoice_079,จ.จักรยาน,11310 ลูกหนี้การค้าในประเทศ,INV55/964/48179,Sales: pitoon,2012-12-26,2012-12-26,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,8970
account_invoice_080,จักรยานบรรเทิง,11310 ลูกหนี้การค้าในประเทศ,INV55/962/48080,Sales: danupol,2012-12-20,2012-12-20,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,45810
account_invoice_081,จักรยานภัณฑ์,11310 ลูกหนี้การค้าในประเทศ,INV49/378/18864,Sales: pasit,2006-03-22,2006-03-22,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,40000
account_invoice_082,จักรยานภัณฑ์,11310 ลูกหนี้การค้าในประเทศ,INV49/382/19052,Sales: pasit,2006-04-18,2006-04-18,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,24400
account_invoice_083,จักรยานภัณฑ์,11310 ลูกหนี้การค้าในประเทศ,INV49/382/19053,Sales: pasit,2006-04-18,2006-04-18,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,66000
account_invoice_084,จักรยานภัณฑ์,11310 ลูกหนี้การค้าในประเทศ,INV49/386/19293,Sales: pasit,2006-05-15,2006-05-15,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,116600
account_invoice_085,เจ.เซอร์วิส,11310 ลูกหนี้การค้าในประเทศ,INV55/957/47843,Sales: pasit,2012-12-04,2012-12-04,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,12650
