id,name,type,parent_id/id,property_account_creditor_price_difference_categ,property_account_income_categ,property_account_expense_categ,property_stock_account_input_categ,property_stock_account_output_categ,property_stock_valuation_account_id,property_stock_journal/id
product_cat_ตะกร้า,ตะกร้า,Normal,product_cat_parts,58200 Purchase price variance,41100 รายได้จากการขายสินค้า,51100 ต้นทุนขาย,21299 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,51900 Product Inventory Clearing,11510 สินค้าสำเร็จรูป,stock.stock_journal
product_cat_ตัวถัง,ตัวถัง,Normal,product_cat_parts,58200 Purchase price variance,41100 รายได้จากการขายสินค้า,51100 ต้นทุนขาย,21299 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,51900 Product Inventory Clearing,11510 สินค้าสำเร็จรูป,stock.stock_journal
product_cat_บังโซ่,บังโซ่,Normal,product_cat_parts,58200 Purchase price variance,41100 รายได้จากการขายสินค้า,51100 ต้นทุนขาย,21299 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,51900 Product Inventory Clearing,11510 สินค้าสำเร็จรูป,stock.stock_journal
product_cat_ฟรีวีล,ฟรีวีล,Normal,product_cat_parts,58200 Purchase price variance,41100 รายได้จากการขายสินค้า,51100 ต้นทุนขาย,21299 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,51900 Product Inventory Clearing,11510 สินค้าสำเร็จรูป,stock.stock_journal
product_cat_ยางนอก,ยางนอก,Normal,product_cat_parts,58200 Purchase price variance,41100 รายได้จากการขายสินค้า,51100 ต้นทุนขาย,21299 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,51900 Product Inventory Clearing,11510 สินค้าสำเร็จรูป,stock.stock_journal
product_cat_กระดิ่ง,กระดิ่ง,Normal,product_cat_parts,58200 Purchase price variance,41100 รายได้จากการขายสินค้า,51100 ต้นทุนขาย,21299 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,51900 Product Inventory Clearing,11510 สินค้าสำเร็จรูป,stock.stock_journal
product_cat_คอแฮนด์,คอแฮนด์,Normal,product_cat_parts,58200 Purchase price variance,41100 รายได้จากการขายสินค้า,51100 ต้นทุนขาย,21299 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,51900 Product Inventory Clearing,11510 สินค้าสำเร็จรูป,stock.stock_journal
product_cat_ตะเกียบ,ตะเกียบ,Normal,product_cat_parts,58200 Purchase price variance,41100 รายได้จากการขายสินค้า,51100 ต้นทุนขาย,21299 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,51900 Product Inventory Clearing,11510 สินค้าสำเร็จรูป,stock.stock_journal
product_cat_บังโคลน,บังโคลน,Normal,product_cat_parts,58200 Purchase price variance,41100 รายได้จากการขายสินค้า,51100 ต้นทุนขาย,21299 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,51900 Product Inventory Clearing,11510 สินค้าสำเร็จรูป,stock.stock_journal
product_cat_ปลอกมือ,ปลอกมือ,Normal,product_cat_parts,58200 Purchase price variance,41100 รายได้จากการขายสินค้า,51100 ต้นทุนขาย,21299 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,51900 Product Inventory Clearing,11510 สินค้าสำเร็จรูป,stock.stock_journal
product_cat_พักเท้า,พักเท้า,Normal,product_cat_parts,58200 Purchase price variance,41100 รายได้จากการขายสินค้า,51100 ต้นทุนขาย,21299 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,51900 Product Inventory Clearing,11510 สินค้าสำเร็จรูป,stock.stock_journal
product_cat_มือเบรค,มือเบรค,Normal,product_cat_parts,58200 Purchase price variance,41100 รายได้จากการขายสินค้า,51100 ต้นทุนขาย,21299 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,51900 Product Inventory Clearing,11510 สินค้าสำเร็จรูป,stock.stock_journal
product_cat_ลูกหมาก,ลูกหมาก,Normal,product_cat_parts,58200 Purchase price variance,41100 รายได้จากการขายสินค้า,51100 ต้นทุนขาย,21299 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,51900 Product Inventory Clearing,11510 สินค้าสำเร็จรูป,stock.stock_journal
product_cat_ล้อพ่วง,ล้อพ่วง,Normal,product_cat_parts,58200 Purchase price variance,41100 รายได้จากการขายสินค้า,51100 ต้นทุนขาย,21299 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,51900 Product Inventory Clearing,11510 สินค้าสำเร็จรูป,stock.stock_journal
product_cat_สับสปีด,สับสปีด,Normal,product_cat_parts,58200 Purchase price variance,41100 รายได้จากการขายสินค้า,51100 ต้นทุนขาย,21299 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,51900 Product Inventory Clearing,11510 สินค้าสำเร็จรูป,stock.stock_journal
product_cat_สายเบรค,สายเบรค,Normal,product_cat_parts,58200 Purchase price variance,41100 รายได้จากการขายสินค้า,51100 ต้นทุนขาย,21299 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,51900 Product Inventory Clearing,11510 สินค้าสำเร็จรูป,stock.stock_journal
product_cat_หลักอาน,หลักอาน,Normal,product_cat_parts,58200 Purchase price variance,41100 รายได้จากการขายสินค้า,51100 ต้นทุนขาย,21299 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,51900 Product Inventory Clearing,11510 สินค้าสำเร็จรูป,stock.stock_journal
product_cat_แกนกลาง,แกนกลาง,Normal,product_cat_parts,58200 Purchase price variance,41100 รายได้จากการขายสินค้า,51100 ต้นทุนขาย,21299 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,51900 Product Inventory Clearing,11510 สินค้าสำเร็จรูป,stock.stock_journal
product_cat_ขาตะกร้า,ขาตะกร้า,Normal,product_cat_parts,58200 Purchase price variance,41100 รายได้จากการขายสินค้า,51100 ต้นทุนขาย,21299 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,51900 Product Inventory Clearing,11510 สินค้าสำเร็จรูป,stock.stock_journal
product_cat_เบาะท้าย,เบาะท้าย,Normal,product_cat_parts,58200 Purchase price variance,41100 รายได้จากการขายสินค้า,51100 ต้นทุนขาย,21299 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,51900 Product Inventory Clearing,11510 สินค้าสำเร็จรูป,stock.stock_journal
product_cat_กระติกน้ำ,กระติกน้ำ,Normal,product_cat_parts,58200 Purchase price variance,41100 รายได้จากการขายสินค้า,51100 ต้นทุนขาย,21299 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,51900 Product Inventory Clearing,11510 สินค้าสำเร็จรูป,stock.stock_journal
